ts_local,buy_filled_ts_local,series,ticker,ignored,buy_count,cost_cents,fee_cost_cents,fill_side,is_taker,pnl_cents,contract_cost,percent_gain
2026-04-12T19:15:09.934212-07:00,2026-04-12T19:11:56-07:00,KXBTC15M,KXBTC15M-26APR122215-15,no,1,98.6,0.4,no,false,1.4000000000000057,98.6,1.419878
2026-04-12T19:30:09.923595-07:00,2026-04-12T19:26:12-07:00,KXXRP15M,KXXRP15M-26APR122230-30,no,1,98.8,0.2,yes,false,1.2000000000000028,98.8,1.214575
2026-04-12T19:45:09.932908-07:00,2026-04-12T19:40:23-07:00,KXBTC15M,KXBTC15M-26APR122245-45,no,1,97.7,0.3,no,false,2.299999999999997,97.7,2.354145
2026-04-12T19:47:20.061566-07:00,2026-04-12T19:03:15-07:00,KXNBAGAME,KXNBAGAME-26APR12PHXOKC-PHX,yes,1,97.0,1.0,yes,false,3.0,97.0,3.092784
2026-04-12T19:47:20.061566-07:00,2026-04-12T19:02:17-07:00,KXNBAGAME,KXNBAGAME-26APR12PHXOKC-OKC,yes,1,97.0,1.0,no,false,3.0,97.0,3.092784
2026-04-12T19:57:20.024713-07:00,2026-04-12T19:01:13-07:00,KXNBAGAME,KXNBAGAME-26APR12UTALAL-UTA,yes,1,97.0,1.0,no,false,3.0,97.0,3.092784
2026-04-12T19:57:20.024713-07:00,2026-04-12T19:01:11-07:00,KXNBAGAME,KXNBAGAME-26APR12UTALAL-LAL,yes,1,97.0,1.0,yes,false,3.0,97.0,3.092784
2026-04-12T20:00:10.036630-07:00,2026-04-12T19:59:34-07:00,KXBTC15M,KXBTC15M-26APR122300-00,no,1,98.9,0.1,no,true,1.0999999999999943,98.9,1.112235
2026-04-12T20:02:00.127587-07:00,2026-04-12T18:50:41-07:00,KXNBAGAME,KXNBAGAME-26APR12MEMHOU-HOU,yes,1,99.0,1.0,yes,false,1.0,99.0,1.010101
2026-04-12T20:03:10.186012-07:00,2026-04-12T18:52:10-07:00,KXNBAGAME,KXNBAGAME-26APR12CHIDAL-DAL,yes,1,98.0,1.0,yes,false,2.0,98.0,2.040816
2026-04-12T20:03:10.186012-07:00,2026-04-12T18:51:50-07:00,KXNBAGAME,KXNBAGAME-26APR12CHIDAL-CHI,yes,1,98.0,1.0,no,false,2.0,98.0,2.040816
2026-04-12T20:07:10.432064-07:00,2026-04-12T19:40:38-07:00,KXNBAGAME,KXNBAGAME-26APR12DENSAS-SAS,yes,1,97.0,1.0,no,true,3.0,97.0,3.092784
2026-04-12T20:07:10.432064-07:00,2026-04-12T19:40:54-07:00,KXNBAGAME,KXNBAGAME-26APR12DENSAS-DEN,yes,1,97.0,1.0,yes,false,3.0,97.0,3.092784
2026-04-12T20:09:10.378050-07:00,2026-04-12T19:40:46-07:00,KXNBAGAME,KXNBAGAME-26APR12GSWLAC-LAC,yes,1,97.0,1.0,yes,false,3.0,97.0,3.092784
2026-04-12T20:09:10.378050-07:00,2026-04-12T19:40:48-07:00,KXNBAGAME,KXNBAGAME-26APR12GSWLAC-GSW,yes,1,97.0,1.0,no,false,3.0,97.0,3.092784
2026-04-12T20:09:10.436771-07:00,2026-04-12T18:52:46-07:00,KXNBAGAME,KXNBAGAME-26APR12SACPOR-SAC,yes,2,196.0,2.0,no,false,4.0,98.0,2.040816
2026-04-12T20:09:10.436771-07:00,2026-04-12T18:54:11-07:00,KXNBAGAME,KXNBAGAME-26APR12SACPOR-POR,yes,1,98.0,1.0,yes,false,2.0,98.0,2.040816
2026-04-12T20:15:10.235665-07:00,2026-04-12T20:14:48-07:00,KXBTC15M,KXBTC15M-26APR122315-15,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-12T20:21:29.978539-07:00,2026-04-12T19:54:33-07:00,KXNBAGAME,KXNBAGAME-26APR12NOPMIN-NOP,yes,1,99.0,1.0,no,false,1.0,99.0,1.010101
2026-04-12T20:21:29.978539-07:00,2026-04-12T19:53:00-07:00,KXNBAGAME,KXNBAGAME-26APR12NOPMIN-MIN,yes,1,97.0,1.0,yes,false,3.0,97.0,3.092784
2026-04-12T20:45:09.950644-07:00,2026-04-12T20:41:37-07:00,KXBTC15M,KXBTC15M-26APR122345-45,no,1,97.2,0.8,no,false,2.799999999999997,97.2,2.880658
2026-04-12T21:00:45.100652-07:00,2026-04-12T20:59:18-07:00,KXBTC15M,KXBTC15M-26APR130000-00,no,1,98.9,0.1,yes,true,1.0999999999999943,98.9,1.112235
2026-04-12T21:15:09.936173-07:00,2026-04-12T21:10:32-07:00,KXBTC15M,KXBTC15M-26APR130015-15,no,1,97.0,1.0,no,true,3.0,97.0,3.092784
2026-04-12T21:30:09.926162-07:00,2026-04-12T21:27:25-07:00,KXETH15M,KXETH15M-26APR130030-30,no,1,98.1,0.9,yes,false,1.9000000000000057,98.1,1.936799
2026-04-12T21:30:09.935545-07:00,2026-04-12T21:26:28-07:00,KXBTC15M,KXBTC15M-26APR130030-30,no,1,96.89999999999999,1.1,yes,true,3.1000000000000085,96.9,3.199174
2026-04-12T21:45:09.923184-07:00,2026-04-12T21:42:46-07:00,KXSOL15M,KXSOL15M-26APR130045-45,no,1,99.0,0.0,yes,false,1.0,99.0,1.010101
2026-04-12T21:45:09.925492-07:00,2026-04-12T21:41:00-07:00,KXETH15M,KXETH15M-26APR130045-45,no,1,98.7,0.3,yes,false,1.2999999999999972,98.7,1.317123
2026-04-12T21:45:09.935407-07:00,2026-04-12T21:40:20-07:00,KXBTC15M,KXBTC15M-26APR130045-45,no,1,97.39999999999999,0.6,yes,false,2.6000000000000085,97.4,2.669405
2026-04-12T22:00:09.921104-07:00,2026-04-12T21:57:37-07:00,KXSOL15M,KXSOL15M-26APR130100-00,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-12T22:00:09.923412-07:00,2026-04-12T21:53:24-07:00,KXETH15M,KXETH15M-26APR130100-00,no,1,99.0,0.0,no,false,1.0,99.0,1.010101
2026-04-12T22:00:09.931789-07:00,2026-04-12T21:51:07-07:00,KXBTC15M,KXBTC15M-26APR130100-00,no,1,97.3,0.7,no,false,2.700000000000003,97.3,2.774923
2026-04-12T22:15:09.922315-07:00,2026-04-12T22:12:40-07:00,KXETH15M,KXETH15M-26APR130115-15,no,1,98.2,0.8,no,false,1.7999999999999972,98.2,1.832994
2026-04-12T22:15:09.934041-07:00,2026-04-12T22:11:43-07:00,KXBTC15M,KXBTC15M-26APR130115-15,no,1,96.89999999999999,0.1,no,false,3.1000000000000085,96.9,3.199174
2026-04-12T22:30:09.927128-07:00,2026-04-12T22:28:34-07:00,KXETH15M,KXETH15M-26APR130130-30,no,1,98.2,1.492,yes,false,1.7999999999999972,98.2,1.832994
2026-04-12T22:30:09.936011-07:00,2026-04-12T22:28:18-07:00,KXBTC15M,KXBTC15M-26APR130130-30,no,1,98.2,0.8,yes,false,1.7999999999999972,98.2,1.832994
